DE_00477	chr12	57523550	57557000	LRP1	Abdominal aortic aneurysm
DE_00146	chr12	66580602	66583000	IRAK3	Acute lung injury
DE_00003	chr3	187602695	187702695	BCL6	Acute lymphoblastic leukemia
DE_00005	chr3	187443146	187468463	MYC	Acute lymphoblastic leukemia
DE_00006	chr8	128857956	128964803	MYC	Acute lymphoblastic leukemia
DE_00007	chr3	187800876	187841876	BCL6	Acute lymphoblastic leukemia
DE_00008	chr3	187951516	187966329	BCL6	Acute lymphoblastic leukemia
DE_00128	chr11	8288480	8290480	LMO1	Acute lymphoblastic leukemia
DE_00182	chr1	47703954	47705983	TAL1	Acute lymphoblastic leukemia
DE_00291	chr3	187777802	187780400	BCL6	Acute lymphoblastic leukemia
DE_00292	chr3	187781802	187783600	BCL6	Acute lymphoblastic leukemia
DE_00293	chr3	187784002	187785200	BCL6	Acute lymphoblastic leukemia
DE_00294	chr3	187785402	187786600	BCL6	Acute lymphoblastic leukemia
DE_00295	chr3	187787202	187787400	BCL6	Acute lymphoblastic leukemia
DE_00296	chr3	187789602	187790200	BCL6	Acute lymphoblastic leukemia
DE_00297	chr3	187790202	187790800	BCL6	Acute lymphoblastic leukemia
DE_00298	chr3	187793202	187796600	BCL6	Acute lymphoblastic leukemia
DE_00299	chr3	187798802	187801400	BCL6	Acute lymphoblastic leukemia
DE_00300	chr3	187801802	187802000	BCL6	Acute lymphoblastic leukemia
DE_00301	chr3	187802002	187804000	BCL6	Acute lymphoblastic leukemia
DE_00302	chr3	187806802	187811600	BCL6	Acute lymphoblastic leukemia
DE_00303	chr3	187811602	187811800	BCL6	Acute lymphoblastic leukemia
DE_00304	chr3	187813202	187813600	BCL6	Acute lymphoblastic leukemia
DE_00305	chr3	187815202	187816400	BCL6	Acute lymphoblastic leukemia
DE_00306	chr3	187817602	187818600	BCL6	Acute lymphoblastic leukemia
DE_00458	chr10	6074002	6104800	IL2RA	Acute lymphoblastic leukemia
DE_00465	chr8	129067402	129081000	MYC	Acute lymphoblastic leukemia
DE_00514	chr8	128191002	128193600	MYC	Acute lymphoblastic leukemia
DE_00637	chr8	129175602	129199400	MYC	Acute lymphoblastic leukemia
DE_01013	chr1	66726202	66753400	PDE4B	Acute lymphoblastic leukemia
DE_00001	chr21	47819654	47820374	ERG	Acute myeloid leukemia
DE_00021	chr3	128320778	128328914	EVI1, GATA2	Acute myeloid leukemia
DE_00404	chr3	128291911	128293310	EVI1	Acute myeloid leukemia
DE_00265	chr22	40741514	40743514	ADSL	Adenylosuccinate lyase deficiency
DE_00433	chr10	102978207	102980207	LBX1	Adolescent idiopathic scoliosis
DE_00860	chr2	233154402	233159800	GIGYF2	Adrenocortical carcinoma
DE_00902	chr5	1725202	1726000	TERT	Adrenocortical carcinoma
DE_00939	chr16	663202	685800	STUB1	Adrenocortical carcinoma
DE_00313	chr5	124708335	124710392	LMNB1	Adult-onset demyelinating leukodystrophy
DE_00314	chr5	124651163	124654187	LMNB1	Adult-onset demyelinating leukodystrophy
DE_00315	chr5	125344507	125346243	LMNB1	Adult-onset demyelinating leukodystrophy
DE_00129	chr1	206941402	206947400	IL10	Advanced liver disease
DE_00029	chr10	124217002	124220400	HTRA1	Age-related macular degeneration
DE_00633	chr4	100075402	100080200	ADH4	Alcoholism
DE_01033	chr2	8440002	8455200	ID2	Allergy
DE_00181	chr14	73602802	73603000	PSEN1	Alzheimers disease
DE_00244	chr19	9943002	9945400	PIN1	Alzheimers disease
DE_01027	chr8	27449602	27475600	PTK2B, CLU, EPHX2	Alzheimers disease
DE_00510	chr20	62588602	62596200	ZNF512B	Amyotrophic lateral sclerosis
DE_00009	chr11	31534353	31542527	PAX6	Aniridia
DE_00083	chr11	31676019	31679740	PAX6	Aniridia
DE_00155	chr13	47471402	47471600	HTR2A	Anorexia nervosa
DE_00127	chr1	173886202	173887200	SERPINC1	Antithrombin deficiency
DE_00326	chr5	147257162	147259162	SCGB3A2	Asthma
DE_00327	chr5	156604202	156609777	ITK	Asthma
DE_00460	chr17	38028120	38030120	ORMDL3	Asthma
DE_00554	chr17	38071002	38082600	ORMDL3	Asthma
DE_00650	chr3	123323002	123427800	MYLK	Asthma
DE_00198	chr17	34204402	34208600	CCL5	Atopic dermatitis
DE_00573	chr2	71077802	71079600	CD207	Atopic dermatitis
